RIVER_SECTION_ID_AAWA,Name,RS_ID_SensorThingServer,RS_Critical,RS_Group,RS_GroupName,RS_GroupDescr
238,OROLO m.   7219.79,476,0,1,Orolo,Orolo alla Confuenza con il Timonchio-Bacchiglione
240,OROLO m.   8395.82,477,0,1,Orolo,Orolo alla Confuenza con il Timonchio-Bacchiglione
241,OROLO m.   8750.21,478,0,1,Orolo,Orolo alla Confuenza con il Timonchio-Bacchiglione
244,OROLO m.   9594.86,479,1,1,Orolo,Orolo alla Confuenza con il Timonchio-Bacchiglione
302,Retrone a S.Agostino,501,1,2,Retrone,Retrone S.Agostino
304,RETRONE m.   2495.61,502,0,2,Retrone,Retrone S.Agostino
305,RETRONE m.   2739.17,503,0,2,Retrone,Retrone S.Agostino
306,RETRONE m.   3023.20,504,0,2,Retrone,Retrone S.Agostino
308,RETRONE m.   3467.06,505,0,2,Retrone,Retrone S.Agostino
310,RETRONE m.   3961.48,506,0,2,Retrone,Retrone S.Agostino
312,RETRONE m.   4408.30,507,0,2,Retrone,Retrone S.Agostino
314,RETRONE m.   4860.71,508,0,2,Retrone,Retrone S.Agostino
315,RETRONE m.   5184.36,509,0,2,Retrone,Retrone S.Agostino
317,RETRONE m.   5485.27,510,0,2,Retrone,Retrone S.Agostino
323,RETRONE m.   6303.90,511,0,2,Retrone,Retrone S.Agostino
451,TIMONCHIO m.  25308,575,0,3,Ponte del Marchese,TIMONCHIO from upstream to the Orolo junction/ Timonchio-Bacchiglione da monte alla confluenza con l’Orolo
454,TIMONCHIO m.  25784.19,576,0,3,Ponte del Marchese,TIMONCHIO from upstream to the Orolo junction/ Timonchio-Bacchiglione da monte alla confluenza con l’Orolo
455,TIMONCHIO m.  26106.12,577,0,3,Ponte del Marchese,TIMONCHIO from upstream to the Orolo junction/ Timonchio-Bacchiglione da monte alla confluenza con l’Orolo
456,Timonchio a ponte Marchese,578,1,3,Ponte del Marchese,TIMONCHIO from upstream to the Orolo junction/ Timonchio-Bacchiglione da monte alla confluenza con l’Orolo
458,TIMONCHIO m.  27092.03,579,0,3,Ponte del Marchese,TIMONCHIO from upstream to the Orolo junction/ Timonchio-Bacchiglione da monte alla confluenza con l’Orolo
459,TIMONCHIO m.  27403.30,580,0,3,Ponte del Marchese,TIMONCHIO from upstream to the Orolo junction/ Timonchio-Bacchiglione da monte alla confluenza con l’Orolo
460,TIMONCHIO m.  27721.19,581,0,3,Ponte del Marchese,TIMONCHIO from upstream to the Orolo junction/ Timonchio-Bacchiglione da monte alla confluenza con l’Orolo
462,TIMONCHIO m.  28060.05,582,0,3,Ponte del Marchese,TIMONCHIO from upstream to the Orolo junction/ Timonchio-Bacchiglione da monte alla confluenza con l’Orolo
464,TIMONCHIO m.  28462.52,583,0,3,Ponte del Marchese,TIMONCHIO from upstream to the Orolo junction/ Timonchio-Bacchiglione da monte alla confluenza con l’Orolo
466,TIMONCHIO m.  28947.77,584,0,3,Ponte del Marchese,TIMONCHIO from upstream to the Orolo junction/ Timonchio-Bacchiglione da monte alla confluenza con l’Orolo
468,BACCHIGLIONE  m.  29275.41,585,0,4,Presso il Ponte di Via Diaz,BACCHIGLIONE river from  the Orolo junction to the Ponte di Via Diaz bridge/ Bacchiglione dalla confluenza con l’Orolo al ponte di via Diaz
469,TIMONCHIO Km.  29418.01,586,0,4,Presso il Ponte di Via Diaz,BACCHIGLIONE river from  the Orolo junction to the Ponte di Via Diaz bridge/ Bacchiglione dalla confluenza con l’Orolo al ponte di via Diaz
470,BACCHIGLIONE  m.   29650.40,587,0,4,Presso il Ponte di Via Diaz,BACCHIGLIONE river from  the Orolo junction to the Ponte di Via Diaz bridge/ Bacchiglione dalla confluenza con l’Orolo al ponte di via Diaz
471,BACCHIGLIONE  m.  30473.66,588,0,4,Presso il Ponte di Via Diaz,BACCHIGLIONE river from  the Orolo junction to the Ponte di Via Diaz bridge/ Bacchiglione dalla confluenza con l’Orolo al ponte di via Diaz
473,BACCHIGLIONE  m.   30827.47,589,1,4,Presso il Ponte di Via Diaz,BACCHIGLIONE river from  the Orolo junction to the Ponte di Via Diaz bridge/ Bacchiglione dalla confluenza con l’Orolo al ponte di via Diaz
475,BACCHIGLIONE  m.  31110.61,590,0,5,Ponte Degli Angeli,in BACCHIGLIONE from Ponte di Via Diaz bridge to Ponte degli Angeli Bridge/  Bacchiglione dal ponte di via Diaz a Ponte degli Angeli
476,BACCHIGLIONE  m.   31409.08,591,0,5,Ponte Degli Angeli,in BACCHIGLIONE from Ponte di Via Diaz bridge to Ponte degli Angeli Bridge/  Bacchiglione dal ponte di via Diaz a Ponte degli Angeli
479,BACCHIGLIONE  m.   31801.54,592,0,5,Ponte Degli Angeli,in BACCHIGLIONE from Ponte di Via Diaz bridge to Ponte degli Angeli Bridge/  Bacchiglione dal ponte di via Diaz a Ponte degli Angeli
481,BACCHIGLIONE  m.  32449.05,593,0,5,Ponte Degli Angeli,in BACCHIGLIONE from Ponte di Via Diaz bridge to Ponte degli Angeli Bridge/  Bacchiglione dal ponte di via Diaz a Ponte degli Angeli
483,BACCHIGLIONE  m.   32713.71,594,0,5,Ponte Degli Angeli,in BACCHIGLIONE from Ponte di Via Diaz bridge to Ponte degli Angeli Bridge/  Bacchiglione dal ponte di via Diaz a Ponte degli Angeli
